,louvain,cell type
"CD-0722-4_D12,C9",6,LMPP
"CD-0722-4_D12,D2",6,LMPP
"CD-0722-4_D12,D3",3,MPP
"CD-0722-4_D12,F2",6,LMPP
"CD-0722-4_E1,A6",4,HSC
"CD-0722-4_E1,B6",5,Unk=5
"CD-0722-4_E1,B12",6,LMPP
"CD-0722-4_E1,C11",1,Unk=HSC
"CD-0722-4_E1,D4",4,HSC
"CD-0722-4_E1,D5",1,Unk=HSC
"CD-0722-4_E1,D7",4,HSC
"CD-0722-4_E2,B8",2,Unk=2
"CD-0722-4_E2,C6",2,Unk=2
"CD-0722-4_E2,C12",4,HSC
"CD-0722-4_E2,D11",0,B-NK
"CD-0722-4_E2,E2",1,Unk=HSC
"CD-0722-4_E2,F1",6,LMPP
"CD-0722-4_E2,G10",0,B-NK
"CD-0722-4_E3,E1",4,HSC
"CD-0722-4_E3,F9",6,LMPP
"CD-0722-4_E3,G9",0,B-NK
"CD-0722-4_E3,H6",1,Unk=HSC
"CD-0722-4_E3,H8",4,HSC
"CD-0722-4_E4,C10",4,HSC
"CD-0722-4_E4,E4",0,B-NK
"CD-0722-4_E4,E8",4,HSC
"CD-0722-4_E4,G7",4,HSC
"CD-0722-4_E5,B4",0,B-NK
"CD-0722-4_E5,B12",0,B-NK
"CD-0722-4_E5,C12",0,B-NK
"CD-0722-4_E5,E7",6,LMPP
"CD-0722-4_E5,E11",4,HSC
"CD-0722-4_E6,C8",0,B-NK
"CD-0722-4_E6,D10",2,Unk=2
"CD-0722-4_E6,E3",6,LMPP
"CD-0722-4_E6,F10",3,MPP
"CD-0722-4_E6,F11",1,Unk=HSC
"CD-0722-4_E6,G1",6,LMPP
"CD-0722-4_E7,A6",4,HSC
"CD-0722-4_E7,B10",2,Unk=2
"CD-0722-4_E7,C11",4,HSC
"CD-0722-4_E7,D4",4,HSC
"CD-0722-4_E7,E1",5,Unk=5
"CD-0722-4_E7,F4",7,MEP
"CD-0722-4_E7,F12",2,Unk=2
"CD-0722-4_E8,A10",5,Unk=5
"CD-0722-4_E8,C3",2,Unk=2
"CD-0722-4_E8,C9",1,Unk=HSC
"CD-0722-4_E8,E6",2,Unk=2
"CD-0722-4_E9,A12",6,LMPP
"CD-0722-4_E9,C1",5,Unk=5
"CD-0722-4_E9,E2",2,Unk=2
"CD-0722-4_E9,H6",4,HSC
"CD-0722-4_E10,C9",4,HSC
"CD-0722-4_E10,G11",3,MPP
"CD-0722-4_E11,C11",0,B-NK
"CD-0722-4_E11,D8",0,B-NK
"CD-0722-4_E12,E7",0,B-NK
"CD-0722-4_E12,H7",1,Unk=HSC
"CD-0722-4_F1,A10",2,Unk=2
"CD-0722-4_F1,B10",8,Unk=B-NK
